number of item, ordered_times, below_84, above_84
1, 28, 0, 28
2, 25, 9, 35
3, 24, 15, 46
4, 11, 7, 25
5, 11, 7, 18
6, 8, 3, 24
7, 7, 5, 15
8, 7, 6, 19
9, 1, 1, 1
10, 2, 2, 6
11, 3, 7, 7
12, 3, 4, 9
13, 3, 4, 8
14, 2, 1, 5
15, 1, 1, 1
16, 1, 1, 3
22, 1, 1, 0
24, 1, 2, 5

139
